idAmazon,idGoogleBase
b000hcz8ey,http://www.google.com/base/feeds/snippets/11114112522015930440
b00007e8d4,http://www.google.com/base/feeds/snippets/16959392076941739015
b000bb7fjw,http://www.google.com/base/feeds/snippets/17614065814468597783
b000gcbov6,http://www.google.com/base/feeds/snippets/779838933309218814
b000bcz8ng,http://www.google.com/base/feeds/snippets/3077454195131808819
b000fdetxq,http://www.google.com/base/feeds/snippets/1327096272598550732
b000pdomn8,http://www.google.com/base/feeds/snippets/7403657268074522339
b000h16p9m,http://www.google.com/base/feeds/snippets/3846293022585027470
b000b85aag,http://www.google.com/base/feeds/snippets/2233807276870300519
b000j588g4,http://www.google.com/base/feeds/snippets/17733079574233143461
b0001fyrq2,http://www.google.com/base/feeds/snippets/14693413290856659257
b000fc4du6,http://www.google.com/base/feeds/snippets/534612205120966482
b0009suw4w,http://www.google.com/base/feeds/snippets/18425416409544307946
b00008mnxq,http://www.google.com/base/feeds/snippets/18380054536947094037
b000ndib8m,http://www.google.com/base/feeds/snippets/2927219174769865115
b00004nhn7,http://www.google.com/base/feeds/snippets/18434385825570199468
b000ndibws,http://www.google.com/base/feeds/snippets/9484979283744840884
b000n5meva,http://www.google.com/base/feeds/snippets/4282890852330556387
b00006h3dw,http://www.google.com/base/feeds/snippets/17252201200051627446
b000gamw7s,http://www.google.com/base/feeds/snippets/18053348848713858697
b000m6wlyk,http://www.google.com/base/feeds/snippets/4108712449976038856
b0009jhv1s,http://www.google.com/base/feeds/snippets/18080236342166120371
b00007bguc,http://www.google.com/base/feeds/snippets/17967569973770560353
b0007yepx2,http://www.google.com/base/feeds/snippets/17962667015870936885
b000ozhfsq,http://www.google.com/base/feeds/snippets/9997282084409978802
b0009hj5ve,http://www.google.com/base/feeds/snippets/4036053921422681767
b00006sijr,http://www.google.com/base/feeds/snippets/10621416214836586442
b000qeitty,http://www.google.com/base/feeds/snippets/14918356353168654855
b0000ycfe0,http://www.google.com/base/feeds/snippets/8175198959985911471
b000cqyclu,http://www.google.com/base/feeds/snippets/1695089910833084773
b0009qvgeo,http://www.google.com/base/feeds/snippets/17491282253363994324
b000ivfciq,http://www.google.com/base/feeds/snippets/18355044473505180786
b000hbxjve,http://www.google.com/base/feeds/snippets/17956249157120493393
b000k7vinq,http://www.google.com/base/feeds/snippets/16448745536109976455
b0009i5sgy,http://www.google.com/base/feeds/snippets/3306668805908280679
b000bgtvbc,http://www.google.com/base/feeds/snippets/15661314377252665074
b000jgqt28,http://www.google.com/base/feeds/snippets/18282499725938188855
b000f7bps4,http://www.google.com/base/feeds/snippets/12516109834871224117
b000h16p9w,http://www.google.com/base/feeds/snippets/12831181740691949409
b0006aao96,http://www.google.com/base/feeds/snippets/15911936238938935149
b00004t2un,http://www.google.com/base/feeds/snippets/17501987182659378619
b000h1df7w,http://www.google.com/base/feeds/snippets/17737819843616715912
b0001wn0m2,http://www.google.com/base/feeds/snippets/17784299186975876292
b000ndibbo,http://www.google.com/base/feeds/snippets/16934204320953872944
b000ar96bm,http://www.google.com/base/feeds/snippets/16873990150005697074
b000licg1m,http://www.google.com/base/feeds/snippets/6070036801370348429
b000sqnbp2,http://www.google.com/base/feeds/snippets/18309926777977827139
b000pgvk5s,http://www.google.com/base/feeds/snippets/1872945109493928217
b000fzvv3u,http://www.google.com/base/feeds/snippets/9675508034468866052
b00006gxbz,http://www.google.com/base/feeds/snippets/9070775827291844765
b000ov0gao,http://www.google.com/base/feeds/snippets/18371601730045221642
b000nvkyse,http://www.google.com/base/feeds/snippets/1492097838915695810
b000922deu,http://www.google.com/base/feeds/snippets/17512159947329144136
b000aa878m,http://www.google.com/base/feeds/snippets/14837029540644805566
b000h20hu4,http://www.google.com/base/feeds/snippets/11816902045207686274
b000hlt57q,http://www.google.com/base/feeds/snippets/18385266399097496621
b000067fk7,http://www.google.com/base/feeds/snippets/3785999369106891548
b000k6b2l0,http://www.google.com/base/feeds/snippets/17834804262117799503
b0006se5bq,http://www.google.com/base/feeds/snippets/18428750969726461849
b000nknb62,http://www.google.com/base/feeds/snippets/13773294714940805969
b000fer1cq,http://www.google.com/base/feeds/snippets/8056776198231015744
b000h774k0,http://www.google.com/base/feeds/snippets/18419564278412211145
b000hlt5g2,http://www.google.com/base/feeds/snippets/3274305083856247424
b000v05f4k,http://www.google.com/base/feeds/snippets/18304228419567401310
b000euhk3g,http://www.google.com/base/feeds/snippets/14356986779854403622
1931102953,http://www.google.com/base/feeds/snippets/12729065138733783657
b00027eqmy,http://www.google.com/base/feeds/snippets/2460101921085498175
b000gkpds8,http://www.google.com/base/feeds/snippets/5515688203820371988
b000cszg2m,http://www.google.com/base/feeds/snippets/5032391174084349054
b000g80lqo,http://www.google.com/base/feeds/snippets/18441188461196475272
b000ndib96,http://www.google.com/base/feeds/snippets/9426718267663314434
b0001y7poo,http://www.google.com/base/feeds/snippets/4468026794504477734
b000h294mq,http://www.google.com/base/feeds/snippets/17383951289144054339
b0007yll20,http://www.google.com/base/feeds/snippets/18431066094306345892
b00094oszk,http://www.google.com/base/feeds/snippets/17215854618313178923
b00030cbu4,http://www.google.com/base/feeds/snippets/18379664802687261824
b000h22pg8,http://www.google.com/base/feeds/snippets/392494394952738157
b000h13a2w,http://www.google.com/base/feeds/snippets/9946072379807963307
b000i84dsy,http://www.google.com/base/feeds/snippets/18427191929555331953
b00013wh0w,http://www.google.com/base/feeds/snippets/10202903815808902868
b000fepvcs,http://www.google.com/base/feeds/snippets/18395637668335924867
b000e3fn4g,http://www.google.com/base/feeds/snippets/18391865764441158658
b000ffsgho,http://www.google.com/base/feeds/snippets/4935901327541769811
b000hc0m36,http://www.google.com/base/feeds/snippets/12949835105262366018
b000051sgq,http://www.google.com/base/feeds/snippets/17588771746186862436
b000nkklwy,http://www.google.com/base/feeds/snippets/18277858650749573891
b000gpsz42,http://www.google.com/base/feeds/snippets/17546591632033422235
b0008glghc,http://www.google.com/base/feeds/snippets/2838840999646798655
b0002ibeve,http://www.google.com/base/feeds/snippets/3360196621571367222
b0002x9a1u,http://www.google.com/base/feeds/snippets/13871525141591734359
b000ov404w,http://www.google.com/base/feeds/snippets/18304611545439824631
b0009dwkwo,http://www.google.com/base/feeds/snippets/15744420000863688597
b0009gd0km,http://www.google.com/base/feeds/snippets/17374298119474236406
b000lrdlia,http://www.google.com/base/feeds/snippets/4142751275091158911
b0007wv3ei,http://www.google.com/base/feeds/snippets/18347005743602331538
b0000dk573,http://www.google.com/base/feeds/snippets/17077922689318325801
b0002yiuns,http://www.google.com/base/feeds/snippets/17602054056835540213
b000o8gs3g,http://www.google.com/base/feeds/snippets/4395553239306869895
b000exw51k,http://www.google.com/base/feeds/snippets/18190434268931466210
b000cditbc,http://www.google.com/base/feeds/snippets/18377490087458020504
b0002itt84,http://www.google.com/base/feeds/snippets/5505866551596188643
b000ga99ry,http://www.google.com/base/feeds/snippets/13264093951540339583
b000nkj29c,http://www.google.com/base/feeds/snippets/17390440905927321212
b000fa5ens,http://www.google.com/base/feeds/snippets/18384136689746651786
b0001h9l5m,http://www.google.com/base/feeds/snippets/15812045656958608251
b000fcyts2,http://www.google.com/base/feeds/snippets/14641221219676710452
b000g0lkcg,http://www.google.com/base/feeds/snippets/14235968984166622494
b000h13a2w,http://www.google.com/base/feeds/snippets/13389337162643628213
b0007g9760,http://www.google.com/base/feeds/snippets/11567429261409321598
b000qfqa1w,http://www.google.com/base/feeds/snippets/18405745276041721942
b0001iqnc0,http://www.google.com/base/feeds/snippets/14425804478665246948
b000phd8ha,http://www.google.com/base/feeds/snippets/7446817695346465267
b000byr41s,http://www.google.com/base/feeds/snippets/825708128584676723
b000bezsyi,http://www.google.com/base/feeds/snippets/10911853136488554482
b000hzrlim,http://www.google.com/base/feeds/snippets/6645838516644564026
b000kbszns,http://www.google.com/base/feeds/snippets/17967900865986277130
b0001wn16m,http://www.google.com/base/feeds/snippets/10092468528845066077
b000hbxjxc,http://www.google.com/base/feeds/snippets/11409582066977374017
b000tilkpc,http://www.google.com/base/feeds/snippets/1081494753292983123
b0002735fi,http://www.google.com/base/feeds/snippets/18409154395025279191
b000egidpe,http://www.google.com/base/feeds/snippets/4998847858583359731
b0009yegcu,http://www.google.com/base/feeds/snippets/12024241460287341882
b00002s6sc,http://www.google.com/base/feeds/snippets/10496277297966281940
b000nif4im,http://www.google.com/base/feeds/snippets/16793437722628106463
b000gkshi6,http://www.google.com/base/feeds/snippets/16952776452110398384
b0001d56uu,http://www.google.com/base/feeds/snippets/18039361276696190381
b000ik414i,http://www.google.com/base/feeds/snippets/16073556725854260285
b000cpshfs,http://www.google.com/base/feeds/snippets/18422327928504968692
b000fvqo0o,http://www.google.com/base/feeds/snippets/2209370345378693785
b00022pti4,http://www.google.com/base/feeds/snippets/7739419455751524618
